path	type	required	constraints	description
ITR.ITR2.CreationInfo.SWVersionNo	string	True	type=string, minLength=1, maxLength=10, pattern=|(\s*([\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&][\s\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&]*)\s*), REQUIRED	
ITR.ITR2.CreationInfo.SWCreatedBy	string	True	type=string, pattern=[S][W][0-9]{8}, REQUIRED	
ITR.ITR2.CreationInfo.JSONCreatedBy	string	True	type=string, pattern=[S][W][0-9]{8}, REQUIRED	
ITR.ITR2.CreationInfo.JSONCreationDate	string	True	type=string, pattern=([12]\d{3}-(0[1-9]|1[0-2])-(0[1-9]|[12]\d|3[01])), REQUIRED	Date in YYYY-MM-DD format on or after 2023-04-01
ITR.ITR2.CreationInfo.IntermediaryCity	string	True	type=string, minLength=1, maxLength=25, pattern=|(\s*([\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&][\s\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&]*)\s*), REQUIRED	
ITR.ITR2.CreationInfo.Digest	string	True	type=string, pattern=-|.{44}, REQUIRED	
ITR.ITR2.Form_ITR2.FormName	string	True	type=string, pattern=ITR-2, REQUIRED	
ITR.ITR2.Form_ITR2.Description	string	True	type=string, minLength=1, maxLength=100, pattern=|(\s*([\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&][\s\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&]*)\s*), REQUIRED	For Individuals and HUFs not having income from profits and gains of business or profession
ITR.ITR2.Form_ITR2.AssessmentYear	string	True	type=string, pattern=2025, REQUIRED	
ITR.ITR2.Form_ITR2.SchemaVer	string	True	type=string, minLength=1, maxLength=10, pattern=Ver1.0, REQUIRED	
ITR.ITR2.Form_ITR2.FormVer	string	True	type=string, minLength=1, maxLength=10, pattern=Ver1.0, REQUIRED	
ITR.ITR2.PartA_139_8A.PAN	string	True	type=string, pattern=[A-Z]{5}[0-9]{4}[A-Z], REQUIRED	
ITR.ITR2.PartA_139_8A.Name	string	True	type=string, maxLength=125, pattern=|(\s*([\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&][\s\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&]*)\s*), REQUIRED	
ITR.ITR2.PartA_139_8A.AadhaarCardNo	string	False	type=string, pattern=[0-9]{12}	
ITR.ITR2.PartA_139_8A.AssessmentYear	string	True	type=string, pattern=2025, REQUIRED	
