path	type	required	constraints	description
ITR.ITR3.CreationInfo.SWVersionNo	string	True	type=string, minLength=1, maxLength=10, pattern=|(\s*([\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&][\s\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&]*)\s*), REQUIRED	
ITR.ITR3.CreationInfo.SWCreatedBy	string	True	type=string, pattern=[S][W][0-9]{8}, REQUIRED	
ITR.ITR3.CreationInfo.JSONCreatedBy	string	True	type=string, pattern=[S][W][0-9]{8}, REQUIRED	
ITR.ITR3.CreationInfo.JSONCreationDate	string	True	type=string, pattern=([12]\d{3}-(0[1-9]|1[0-2])-(0[1-9]|[12]\d|3[01])), REQUIRED	Date in format YYYY-MM-DD on or after 2025-04-01
ITR.ITR3.CreationInfo.IntermediaryCity	string	True	type=string, minLength=1, maxLength=25, pattern=|(\s*([\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&][\s\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&]*)\s*), REQUIRED	
ITR.ITR3.CreationInfo.Digest	string	True	type=string, pattern=-|.{44}, REQUIRED	
ITR.ITR3.Form_ITR3.FormName	string	True	type=string, pattern=|(\s*([\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&][\s\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&]*)\s*), enum=['ITR-3'], REQUIRED	
ITR.ITR3.Form_ITR3.Description	string	True	type=string, minLength=1, maxLength=75, pattern=|(\s*([\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&][\s\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&]*)\s*), REQUIRED	
ITR.ITR3.Form_ITR3.AssessmentYear	string	True	type=string, pattern=|(\s*([\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&][\s\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&]*)\s*), enum=['2025'], REQUIRED	
ITR.ITR3.Form_ITR3.SchemaVer	string	True	type=string, minLength=1, maxLength=10, pattern=Ver1.0, REQUIRED	
ITR.ITR3.Form_ITR3.FormVer	string	True	type=string, minLength=1, maxLength=10, pattern=Ver1.0, REQUIRED	
ITR.ITR3.PartA_139_8A.PAN	string	True	type=string, pattern=[A-Z]{5}[0-9]{4}[A-Z], REQUIRED	
ITR.ITR3.PartA_139_8A.Name	string	True	type=string, maxLength=125, pattern=|(\s*([\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&][\s\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&]*)\s*), REQUIRED	
ITR.ITR3.PartA_139_8A.AadhaarCardNo	string	False	type=string, pattern=[0-9]{12}	
ITR.ITR3.PartA_139_8A.AssessmentYear	string	True	type=string, pattern=2025, REQUIRED	
ITR.ITR3.PartA_139_8A.PreviouslyFiledForThisAY	string	True	type=string, pattern=Y|N, REQUIRED	
ITR.ITR3.PartA_139_8A.PreviouslyFiledForThisAY_139_8A	string	False	type=string, pattern=|(\s*([\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&][\s\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&]*)\s*), enum=['1', '2']	1 - 139(1); 2 - Other
ITR.ITR3.PartA_139_8A.Applicable_139_8A.ITRForm	string	False	type=string, pattern=|(\s*([\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&][\s\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&]*)\s*), enum=['ITR1', 'ITR2', 'ITR3', 'ITR4', 'ITR5', 'ITR6', 'ITR7']	ITR1 - ITR1; ITR2 - ITR2; ITR3 - ITR3; ITR4 - ITR4; ITR5 - ITR5; ITR6 - ITR6; ITR7 - ITR7;
ITR.ITR3.PartA_139_8A.Applicable_139_8A.AcknowledgementNo	string	True	type=string, maxLength=15, pattern=[0-9]{15}, REQUIRED	Enter Acknowledgment No. of Original return
ITR.ITR3.PartA_139_8A.Applicable_139_8A.OrigRetFiledDate	string	True	type=string, pattern=([12]\d{3}-(0[1-9]|1[0-2])-(0[1-9]|[12]\d|3[01])), REQUIRED	Enter Date of filing of Original return in YYYY-MM-DD format
ITR.ITR3.PartA_139_8A.LaidOutIn_139_8A	string	True	type=string, pattern=Y|N, REQUIRED	
ITR.ITR3.PartA_139_8A.ITRFormUpdatingInc	string	True	type=string, pattern=|(\s*([\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&][\s\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&]*)\s*), enum=['ITR3'], REQUIRED	ITR3 - ITR3
ITR.ITR3.PartA_139_8A.UpdatingInc.ReasonsForUpdatingIncDtls[].ReasonsForUpdatingIncome	string	True	type=string, pattern=|(\s*([\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&][\s\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&]*)\s*), enum=['1', '2', '3', '4', '5', '6', '7', 'OTH'], REQUIRED	1 - Return previously not filed; 2 - Income not reported correctly; 3 - Wrong heads of income chosen; 4 - Reduction of carried forward loss; 5 - Reduction of unabsorbed depreciation; 6 - Reduction of tax credit u/s 115JB/115JC; 7 - Wrong rate of tax; OTH-Others
ITR.ITR3.PartA_139_8A.UpdatedReturnDuringPeriod	string	True	type=string, pattern=|(\s*([\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&][\s\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&]*)\s*), enum=['1', '2', '3', '4'], REQUIRED	1 - Up to 12 months from the end of Relevant Assessment Year; 2 - Between 12 to 24 Months from the end of Relevant Assessment Year; 3 - Between 24 to 36 Months from the end of Relevant Assessment Year; 4 - Between 36 to 48 Months from the end of Relevant Assessment Year
ITR.ITR3.PartA_139_8A.RetrntoRedCarriedFL.UnabsorbedDepreciation	string	True	type=string, pattern=Y|N, REQUIRED	
ITR.ITR3.PartA_139_8A.RetrntoRedCarriedFL.UDYear.UnabsorbedDepreciationYearDtls[].UnabsorbedDepreciationYear	string	True	type=string, pattern=|(\s*([\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&][\s\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&]*)\s*), enum=['2026', '2027'], REQUIRED	2026; 2027
ITR.ITR3.PartA_139_8A.RetrntoRedCarriedFL.UDYear.UnabsorbedDepreciationYearDtls[].RevisedReturnFile	string	False	type=string, pattern=Y|N	
ITR.ITR3.PartA_139_8A.RetrntoRedCarriedFL.UDYear.UnabsorbedDepreciationYearDtls[].UpdatedReturnFile	string	False	type=string, pattern=Y|N	
ITR.ITR3.PartA_GEN1.PersonalInfo.AssesseeName.FirstName	string	False	type=string, maxLength=25, pattern=|(\s*([\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&][\s\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&]*)\s*)	
ITR.ITR3.PartA_GEN1.PersonalInfo.AssesseeName.MiddleName	string	False	type=string, maxLength=25, pattern=|(\s*([\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&][\s\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&]*)\s*)	
ITR.ITR3.PartA_GEN1.PersonalInfo.AssesseeName.SurNameOrOrgName	string	True	type=string, minLength=1, maxLength=75, pattern=|(\s*([\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&][\s\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&]*)\s*), REQUIRED	Enter Last or Sur name for Individual or HUF name here
ITR.ITR3.PartA_GEN1.PersonalInfo.PAN	string	True	type=string, pattern=[A-Z]{5}[0-9]{4}[A-Z], REQUIRED	
ITR.ITR3.PartA_GEN1.PersonalInfo.Address.ResidenceNo	string	True	type=string, minLength=1, maxLength=50, pattern=|(\s*([\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&][\s\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&]*)\s*), REQUIRED	
ITR.ITR3.PartA_GEN1.PersonalInfo.Address.ResidenceName	string	False	type=string, maxLength=50, pattern=|(\s*([\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&][\s\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&]*)\s*)	
ITR.ITR3.PartA_GEN1.PersonalInfo.Address.RoadOrStreet	string	False	type=string, maxLength=50, pattern=|(\s*([\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&][\s\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&]*)\s*)	
ITR.ITR3.PartA_GEN1.PersonalInfo.Address.LocalityOrArea	string	True	type=string, minLength=1, maxLength=50, pattern=|(\s*([\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&][\s\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&]*)\s*), REQUIRED	
ITR.ITR3.PartA_GEN1.PersonalInfo.Address.CityOrTownOrDistrict	string	True	type=string, minLength=1, maxLength=50, pattern=|(\s*([\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&][\s\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&]*)\s*), REQUIRED	
